92 1 -0.871 -0.68 -0.18 0.072 -0.821 -0.415 -0.326 0.178 -0.062 -0.439 0.004 0.164 41.6 43 44 45 43 45.5 45 47.5
96 1 -0.857 -0.403 -0.122 0.646 -1.33 -0.188 -0.424 0.711 -0.768 -0.419 -0.186 0.158 45 46.5 47.5 49 40.5 45 44.5 48
97 1 -1.977 -1.334 -0.297 -0.094 -1.532 -0.901 -0.59 -0.12 -0.127 -0.193 0.352 0.239 45.75 47.2 48.25 49.5 64 65.5 74.75 82.5
98 1 -1.598 -0.714 -0.458 -0.003 -0.721 -0.453 0.14 0.865 -1.428 -0.795 -0.074 0.414 45.45 46.75 49 50.88 47 49.5 52.25 60
100 1 0.128 0.316 0.566 1.252 -0.614 0.858 0.986 1.591 0.76 0.93 1.49 1.706 46 48 49 50.5 46 48 49 52.5
103 2 -1.167 -0.81 -0.342 0.222 -1.187 -0.771 -0.461 0.396 -1.181 -0.772 -0.785 0.163 43 42.5 43.13 44.5 47 48.5 51.25 56.5
104 2 -0.357 0.23 0.414 0.871 -0.439 0.171 0.355 1.449 1.13 1.331 1.383 2.127 42 43 44 45.5 36.5 37 39 41
116 2 -0.366 -0.174 0.27 1.377 -0.397 0.021 0.244 1.04 0.285 0.625 0.916 1.38 44.25 46 47 49 47.5 52.75 58.5 65
126 2 -0.337 -0.144 -0.013 0.838 -0.277 -0.074 -0.031 0.987 0.241 0.265 0.719 1.108 42.5 44 45 46.75 37 41.5 43 46
130 1 0.373 0.842 0.835 1.214 -0.744 -0.136 -0.044 0.824 0.655 0.92 1.14 1.182 47.25 49.25 50 51.63 54.5 61.5 63.5 70.25
133 2 -0.633 -0.436 0.119 1.087 -0.645 -0.097 0.048 0.797 0.436 0.546 0.937 0.878 42.5 43.75 44.75 46 44 47.5 48 52.5
135 1 0.038 0.403 0.613 0.764 -0.2 0.024 0.429 1.198 0.062 0.272 0.386 0.746 44.5 45.63 45.75 47.75 44 46.5 47 49.5
136 2 -0.85 -0.163 0.012 1.046 -0.41 -0.236 -0.087 0.864 0.011 -0.125 0.381 1.009 44.13 45.63 46 48 40 44 46 51
138 2 -0.755 -0.091 -0.131 0.415 -0.561 -0.078 -0.053 0.76 -0.284 0.072 0.189 0.584 43.5 44.63 45.5 47 46.25 48.5 49 52.25
150 1 -1.094 -0.522 -0.026 0.52 -1.984 -0.761 -0.375 0.215 -0.496 -0.135 0.413 0.849 41.63 42.34 44.25 45.5 44 46.5 49 56
155 1 -0.25 -0.374 -0.158 0.52 -0.415 -0.175 -0.047 0.615 0.545 0.956 0.855 1.289 45.95 50.25 51.25 52.63 56 57.5 60 66
161 1 -0.78 0.114 0.191 0.787 -0.817 -0.5 -0.093 0.784 0.498 0.641 0.857 1.037 46.25 48 49 49.75 49.5 50.5 51.5 54
166 2 0.24 0.383 0.788 1.043 -0.099 0.975 1.226 1.54 0.121 0.194 0.577 0.967 42.5 43.5 44.63 45.25 37.5 39.5 39.5 42.75
176 2 -0.063 0.27 0.784 1.347 -0.268 0.177 0.297 1.139 0.712 1.131 1.467 1.295 45.5 47 54.5 49.5 45.5 52.5 48 60.5
184 2 -0.842 -0.64 -0.637 -0.069 -0.902 -0.857 -0.451 0.039 0.252 0.652 0.831 1.536 45.5 45 46 47.25 43.7 49.5 54.25 55
186 1 -1.032 -0.507 0.064 0.486 -0.875 -0.42 -0.146 0.379 0.559 0.96 1.691 1.322 48 48.5 49.75 51.63 53 54.5 54.5 59.5
187 2 -0.623 -0.179 0.048 0.451 -1.131 -0.617 -0.179 0.395 0.293 0.648 1.127 1.494 41 46.5 44.13 45.5 34.5 37.5 39 42.5
